open,high,low,close,tick_volume,year,month,day
5.26,5.47,4.8,5.21,69150,2012,1,2
5.22,5.29,4.65,4.88,125170,2012,1,3
4.88,5.7,4.75,5.57,131170,2012,1,4
5.57,7.22,5.57,6.94,182328,2012,1,5
6.95,7.21,6.13,6.7,218077,2012,1,6
7.11,7.19,5.81,6.32,148406,2012,1,9
6.33,6.89,6,6.36,110210,2012,1,10
6.45,7.14,6.41,6.9,99442,2012,1,11
6.9,7,6.34,6.8,140116,2012,1,12
6.8,6.8,6.4,6.41,60228,2012,1,13
7,7.19,6.51,6.68,122666,2012,1,16
6.68,6.96,4.64,5.6,213409,2012,1,17
5.6,6.95,5.1,5.92,226680,2012,1,18
5.92,6.36,5.87,6.36,114820,2012,1,19
6.36,6.58,6.26,6.49,66786,2012,1,20
6.31,6.39,6.21,6.36,17693,2012,1,23
6.36,6.4,6.22,6.29,35663,2012,1,24
6.29,6.32,5.5,5.75,133115,2012,1,25
5.8,5.92,5.3,5.34,123954,2012,1,26
5.34,5.51,5.05,5.29,115567,2012,1,27
5.38,5.6,5.37,5.49,42303,2012,1,30
5.49,5.65,5.43,5.48,48296,2012,1,31
5.53,6.2,5.46,6.07,115523,2012,2,1
6.07,6.2,5.82,6.1,54546,2012,2,2
6.1,6.14,5.72,5.96,59279,2012,2,3
5.69,5.72,5.45,5.45,90258,2012,2,6
5.48,5.78,5.45,5.69,72748,2012,2,7
5.69,5.85,5.3,5.6,237943,2012,2,8
5.6,5.92,5.5,5.83,89946,2012,2,9
5.83,5.99,5.8,5.91,39304,2012,2,10
5.52,5.73,5.2,5.26,170208,2012,2,13
5.26,5.45,4.21,4.46,297569,2012,2,14
4.46,4.88,4.2,4.32,161797,2012,2,15
4.33,4.45,3.88,4.28,166592,2012,2,16
4.27,4.77,4.22,4.41,135948,2012,2,17
4.39,4.47,4.29,4.36,37296,2012,2,20
4.38,4.4,4.21,4.27,51786,2012,2,21
4.27,4.54,4.27,4.42,103834,2012,2,22
4.46,5.2,4.42,5.02,164305,2012,2,23
5.02,5.11,4.83,5.03,89825,2012,2,24
4.92,4.99,4.89,4.95,29368,2012,2,27
4.95,5,4.73,4.87,62688,2012,2,28
4.87,4.9,4.8,4.86,26536,2012,2,29
4.86,4.99,4.86,4.92,44180,2012,3,1
4.92,4.95,4.51,4.7,130761,2012,3,2
4.82,5.05,4.82,4.98,65826,2012,3,5
4.98,5.07,4.9,4.99,44530,2012,3,6
4.99,5.05,4.84,4.94,46164,2012,3,7
4.94,5,4.76,4.93,58086,2012,3,8
4.93,4.95,4.82,4.86,32720,2012,3,9
4.91,4.95,4.86,4.89,22046,2012,3,12
4.89,5.41,4.86,5.27,127322,2012,3,13
5.27,5.45,5.25,5.38,62886,2012,3,14
5.39,5.44,5.25,5.32,41075,2012,3,15
5.35,5.4,5.3,5.35,32715,2012,3,16
5.26,5.32,4.5,4.7,188885,2012,3,19
4.69,4.9,4.58,4.83,66341,2012,3,20
4.84,4.87,4.75,4.82,46433,2012,3,21
4.79,4.88,4.59,4.7,58066,2012,3,22
4.74,4.79,4.6,4.69,54128,2012,3,23
4.55,4.74,4.52,4.62,69834,2012,3,26
4.62,4.85,4.49,4.81,73429,2012,3,27
4.81,4.84,4.72,4.79,38014,2012,3,28
4.79,4.86,4.71,4.81,37972,2012,3,29
4.81,4.88,4.72,4.86,39069,2012,3,30
4.83,5.08,4.76,4.98,80661,2012,4,2
4.97,4.99,4.81,4.95,78479,2012,4,3
4.95,4.97,4.89,4.91,51038,2012,4,4
4.93,4.94,4.87,4.92,33804,2012,4,5
4.92,4.98,4.88,4.95,58208,2012,4,6
4.79,4.88,4.73,4.87,39240,2012,4,9
4.87,4.9,4.76,4.83,53099,2012,4,10
4.84,4.98,4.79,4.93,67033,2012,4,11
4.93,4.95,4.84,4.92,46365,2012,4,12
4.92,4.95,4.73,4.94,93109,2012,4,13
4.97,4.98,4.91,4.93,31156,2012,4,16
4.96,5.02,4.93,4.98,30643,2012,4,17
4.98,5.18,4.96,5.12,79127,2012,4,18
5.12,5.19,5.1,5.14,46672,2012,4,19
5.14,5.48,5.1,5.35,104067,2012,4,20
5.2,5.21,4.96,4.96,49365,2012,4,23
4.96,5.2,4.95,5.1,70986,2012,4,24
5.1,5.18,5.04,5.13,35639,2012,4,25
5.13,5.17,4.99,5.09,57358,2012,4,26
5.1,5.13,5.03,5.11,25866,2012,4,27
4.9,5,4.87,4.95,55764,2012,4,30
4.95,5,4.92,5,36677,2012,5,1
5,5.18,4.97,5.07,95961,2012,5,2
5.07,5.18,5.02,5.13,35419,2012,5,3
5.11,5.15,5.07,5.07,43625,2012,5,4
5.05,5.1,4.97,5.06,46180,2012,5,7
5.06,5.1,4.96,5.05,68200,2012,5,8
5.05,5.1,5,5.04,38918,2012,5,9
5.04,5.12,4.8,4.85,69980,2012,5,10
4.85,5,4.8,4.96,63127,2012,5,11
4.93,5.04,4.9,5.01,52843,2012,5,14
5.02,5.04,4.95,5.03,44142,2012,5,15
5.04,5.14,5,5.09,69367,2012,5,16
5.09,5.1,5.05,5.1,26620,2012,5,17
5.1,5.13,5.06,5.12,52576,2012,5,18
5.1,5.13,5.06,5.1,33620,2012,5,21
5.1,5.12,5.05,5.1,46678,2012,5,22
5.1,5.17,5.07,5.14,52956,2012,5,23
5.14,5.15,5.07,5.12,28915,2012,5,24
5.12,5.15,5.1,5.15,23072,2012,5,25
5.14,5.16,5.11,5.14,27557,2012,5,28
5.14,5.16,5.01,5.15,61265,2012,5,29
5.15,5.17,5.1,5.13,39941,2012,5,30
5.14,5.21,5.12,5.19,39473,2012,5,31
5.2,5.28,5.18,5.28,44686,2012,6,1
5.21,5.28,5.18,5.27,51237,2012,6,4
5.27,5.5,5.23,5.44,83930,2012,6,5
5.45,5.49,5.39,5.46,40675,2012,6,6
5.46,5.59,5.41,5.59,48064,2012,6,7
5.59,5.66,5.56,5.63,53838,2012,6,8
5.47,5.6,5.43,5.58,40261,2012,6,11
5.6,5.76,5.5,5.71,78979,2012,6,12
5.73,5.96,5.66,5.93,57236,2012,6,13
5.93,5.98,5.81,5.96,35037,2012,6,14
5.95,6.58,5.88,6.5,65635,2012,6,15
6.16,6.36,6.03,6.31,46830,2012,6,18
6.31,6.53,6.28,6.5,43881,2012,6,19
6.5,6.71,6.45,6.67,64066,2012,6,20
6.67,6.8,6.56,6.68,51940,2012,6,21
6.68,6.8,6.43,6.55,56821,2012,6,22
6.35,6.45,6.22,6.3,62636,2012,6,25
6.31,6.48,6.29,6.42,48733,2012,6,26
6.42,6.65,6.4,6.65,41977,2012,6,27
6.65,6.67,6.49,6.61,42815,2012,6,28
6.61,6.68,6.55,6.65,26297,2012,6,29
6.6,6.77,6.58,6.76,32361,2012,7,2
6.76,6.76,6.4,6.45,71065,2012,7,3
6.45,6.55,6.45,6.51,33476,2012,7,4
6.51,6.77,6.48,6.67,45341,2012,7,5
6.67,6.72,6.55,6.65,43188,2012,7,6
6.8,7.1,6.74,7.02,61641,2012,7,9
7.02,7.25,6.96,7.2,70062,2012,7,10
7.2,7.26,7.02,7.15,41888,2012,7,11
7.17,7.9,7.1,7.76,64613,2012,7,12
7.69,7.82,7.42,7.67,65462,2012,7,13
7.62,8.65,7.61,8.5,103396,2012,7,16
8.5,9.49,7.32,8.8,210802,2012,7,17
8.8,9.4,8.5,9.11,105943,2012,7,18
9.11,9.23,8.82,8.87,48246,2012,7,19
8.87,8.87,7.6,8.52,154658,2012,7,20
8.41,9.2,7.75,8.45,146393,2012,7,23
8.45,8.85,8.34,8.6,40944,2012,7,24
8.55,8.9,8.37,8.8,64719,2012,7,25
8.8,8.9,8.6,8.9,32377,2012,7,26
8.9,8.95,8.81,8.9,26671,2012,7,27
8.71,9.15,8.7,9.1,56303,2012,7,30
9.08,9.44,9.08,9.35,70171,2012,7,31
9.35,9.65,9.11,9.55,68693,2012,8,1
9.55,11,9.41,10.53,126682,2012,8,2
10.53,11.12,10.3,10.97,61639,2012,8,3
10.87,11.19,10.64,10.86,51636,2012,8,6
10.91,11.1,10.65,11.1,41651,2012,8,7
11.1,11.15,10.85,11.05,31319,2012,8,8
11.06,12.01,10.8,11.07,101876,2012,8,9
11.06,11.6,11.01,11.39,63594,2012,8,10
11.62,12.05,11.49,12.03,54033,2012,8,13
12.04,12.34,11.9,12.19,44011,2012,8,14
12.19,13.25,12.16,13.25,57560,2012,8,15
13.25,13.84,12.5,13.5,96601,2012,8,16
13.5,15.4,10.6,11.58,221031,2012,8,17
8,10.5,7.81,10.1,192499,2012,8,20
10.1,10.3,9.7,9.91,72079,2012,8,21
9.92,10.11,9.58,9.81,67511,2012,8,22
9.72,10.25,9.7,10.1,56013,2012,8,23
10.1,10.62,9.85,10.6,92073,2012,8,24
10.59,12.15,10.54,10.95,175113,2012,8,27
10.95,11.21,10.5,10.94,54873,2012,8,28
10.94,11.13,10.55,10.92,53645,2012,8,29
10.92,10.94,10.6,10.78,30866,2012,8,30
10.78,10.83,9.66,10.16,67789,2012,8,31
10.21,10.59,10.09,10.53,22923,2012,9,3
10.53,10.53,10.15,10.38,34876,2012,9,4
10.39,11.18,10.27,11.01,60765,2012,9,5
11,11.29,10.64,11.18,67049,2012,9,6
11.2,11.21,10.96,11,35532,2012,9,7
11.02,11.19,10.87,11.17,42287,2012,9,10
11.15,11.35,10.88,11.33,64951,2012,9,11
11.33,11.39,10.78,11.36,58624,2012,9,12
11.23,11.4,11.22,11.4,20571,2012,9,13
11.4,11.8,11.32,11.67,43256,2012,9,14
11.87,11.96,11.76,11.89,26609,2012,9,17
11.89,12.35,11.84,12.25,40946,2012,9,18
12.25,12.69,12.15,12.57,41880,2012,9,19
12.57,12.66,12.25,12.28,32563,2012,9,20
12.28,12.5,12.01,12.37,35832,2012,9,21
12.19,12.3,11.95,12.1,27289,2012,9,24
12.1,12.23,12.01,12.2,21225,2012,9,25
12.2,12.46,12.02,12.27,23492,2012,9,26
12.27,12.4,12.21,12.31,19324,2012,9,27
12.31,12.45,12.12,12.39,26673,2012,9,28
12.35,12.48,12.32,12.4,24823,2012,10,1
12.4,12.88,12.34,12.84,50830,2012,10,2
12.84,12.99,12.68,12.89,32953,2012,10,3
12.88,13.09,12.6,12.85,37943,2012,10,4
12.8,12.97,12.51,12.69,31256,2012,10,5
11.8,11.95,10.62,11.78,97936,2012,10,8
11.74,12.35,11.57,11.9,46766,2012,10,9
11.9,12.2,11.77,12.13,27719,2012,10,10
12.12,12.15,11.86,12.03,19828,2012,10,11
12.03,12.15,11.92,12,21537,2012,10,12
11.58,11.99,11.43,11.84,27099,2012,10,15
11.84,11.99,11.5,11.85,41183,2012,10,16
11.85,11.96,11.7,11.81,23550,2012,10,17
11.81,11.96,11.75,11.94,21878,2012,10,18
11.94,11.97,11.62,11.75,23176,2012,10,19
11.63,11.81,11.47,11.71,37619,2012,10,22
11.71,12,11.41,11.65,54341,2012,10,23
11.65,11.79,11.59,11.65,21761,2012,10,24
11.65,11.7,10.52,10.86,84701,2012,10,25
10.85,10.95,9.74,10.17,98991,2012,10,26
10.7,10.94,10.32,10.6,37572,2012,10,29
10.59,10.89,10.58,10.89,26021,2012,10,30
10.89,11.21,10.71,11.2,40670,2012,10,31
11.2,11.28,10.4,10.57,50360,2012,11,1
10.57,10.8,10.33,10.47,24483,2012,11,2
10.8,10.88,10.61,10.75,21774,2012,11,5
10.75,10.9,10.67,10.9,26993,2012,11,6
10.9,11.22,10.8,10.92,31731,2012,11,7
10.92,11.07,10.75,10.93,26056,2012,11,8
10.93,10.99,10.79,10.82,14724,2012,11,9
10.87,11.18,10.77,11.01,39214,2012,11,12
11.01,11.13,10.92,10.95,16755,2012,11,13
11,11.05,10.82,10.95,24540,2012,11,14
10.99,11.3,10.86,11.2,31897,2012,11,15
11.2,11.8,11.17,11.75,58250,2012,11,16
11.67,11.85,11.6,11.81,25194,2012,11,19
11.8,11.8,11.57,11.73,27217,2012,11,20
11.7,11.78,11.64,11.77,19224,2012,11,21
11.75,12.43,11.67,12.42,58299,2012,11,22
12.42,12.42,12.13,12.34,18966,2012,11,23
12.48,12.65,11.89,12.24,35911,2012,11,26
12.25,12.34,11.9,12.2,33191,2012,11,27
12.2,12.41,12.1,12.35,30684,2012,11,28
12.35,12.6,12.15,12.45,26502,2012,11,29
12.45,12.65,12.42,12.57,24347,2012,11,30
12.5,12.68,12.47,12.68,47146,2012,12,3
12.65,13.5,12.62,13.41,63243,2012,12,4
13.41,13.42,13.15,13.38,29791,2012,12,5
13.3,13.69,12.9,13.3,46561,2012,12,6
13.3,13.55,12.98,13.5,32796,2012,12,7
13.39,13.55,13.27,13.44,24663,2012,12,10
13.5,13.67,13.3,13.56,28043,2012,12,11
13.56,13.8,13.3,13.7,37676,2012,12,12
13.7,13.8,13.47,13.7,24194,2012,12,13
13.71,13.91,13,13.6,70141,2012,12,14
